meta_country,policy_health,policy_ehealth,policy_his,policy_telehealth,funding_public,funding_private,funding_donor,funding_publicprivate,policy_multilingual,sites_multilingual,training_preservice,training_inservice,population_1000s,lifeexpectancy_years,GNI_percentgdp,healthspend_percentgdp,physician_per10000,ICTdevindex_rank,nurse_per10000,mobilephone_percent,hospitalbed_per10000,internetusers_percent,legal_ehealth,legal_safety,legal_privacyanyformat,legal_privacydigital,sharing_national,sharing_international,sharing_research,owndata_access,owndata_correction,owndata_deletion,owndata_sharingcontrol,legal_registration,legal_idmanagement,teleradiology,teledermatology,telepathology,telepsychiatry,remotemonitoring,elearning_students_medicine,elearning_students_dentistry,elearning_students_publichealth,elearning_students_nursing,elearning_students_pharmacy,elearning_students_biomedical,elearning_prof_medical,elearning_prof_dentistry,elearning_prof_publichealth,elearning_prof_nursing,elearning_prof_parmacy,elearning_prof_biomedical,ehr_national,ehr_legislation,ehr_primary,ehr_secondary,ehr_tertiary,ehr_laboratory,ehr_pathology,ehr_pharmacy,ehr_pacs,ehr_vaccinationalerts,ehr_billing,ehr_supplychain,ehr_hr,meta_region,sm_policy,sm_policyhealth,sm_org_healthpromotion,sm_org_appointment,sm_org_feedback,sm_org_announcements,sm_org_emergency,sm_ind_learn,sm_ind_decide,sm_ind_feedback,sm_ind_campaign,sm_ind_forum,policy_bigdata_health,policy_bigdata_private,junk_country,mhealth_tollfree,mhealth_callcentre,mhealth_appointments,mhealth_telehealth,mhealth_disaster,mhealth_adherence,mhealth_community,mhealth_infoaccess,mhealth_records,mhealth_mlearning,mhealth_dss,mhealth_monitoring,mhealth_survey,mhealth_surveillance,junk_footer
El Salvador,Yes 75  2009,No 58  N A,Yes 66  2010,No 22  N A,Yes 77   25 ,No 40  Zero,Yes 63   75 ,No 42  Zero,No 28  N A,No 48 ,No 74  N A,Yes 77   25 ,6 340,73,7 490,6.9,1.6,100,0.41,137.34,10,25.5,No 31 ,No 46 ,Yes 78 ,No 54 ,No 34 ,No 22 ,No 39 ,No 29 ,No 32 ,No 18 ,No 28 ,Yes 76 ,Yes 65 ,Local Informal,       ,       ,       ,       ,Yes 58 ,No 39 ,Yes 50 ,No 47 ,No 38 ,Yes 42 ,Yes 58 ,No 30 ,Yes 47 ,Yes 46 ,No 31 ,No 34 ,Yes 2009,No,Yes  25 ,Yes  25 ,Yes  25 ,Yes 35 ,No 18 ,Yes 33 ,Yes 26 ,No 10 ,No 58 ,Yes 58 ,Yes 69  WHO Region of the,Americas,No 18  N A,5,Yes 78 ,No 24 ,Yes 56 ,Yes 72 ,Yes 59 ,No 79 ,No 56 ,Yes 62 ,Yes 62 ,59,No 17  N A,No 8  N A El,Salvador,National Pilot,National Pilot,National Informal,       ,       ,       ,       ,International Pilot,       ,National Established,       ,Local Informal,       ,        LEGEND      Country context indicators   ICT Development Index Rank. 2015   https   www.itu.int net4 ITU D idi 2015  All other country indicators. Global Health Observatory. 2012 2014     http   www.who.int gho      Glossary     Indicates the percentage of participating Member States responding    Yes        Don   t know N A Not applicable     Indicates question was unanswered   Question not asked Zero No funding International level  Health entities in different geographic regions Regional level  Health entities in countries in the same geographic region National level  Referral hospitals  laboratories and health institutes  mainly  public  but also private  Intermediate level  District or provincial facilities  public and private hospitals  and health centres Local or peripheral level   Health posts  health centres providing basic level of care Informal   Use of ICT for health purposes in the absence of formal  processes and policies Pilot   Testing and evaluating a programme Established  An ongoing programme that has been conducted for a  minimum of 2 years and is planned to continue     2016 WHOhttp   www.who.int goe,
San Marino,Yes 75  1955,Yes 58  1990,No 66  N A,No 22  N A,No 77     ,No 40     ,No 63     ,No 42     ,No 28  N A,No 48 ,No 74  N A,No 77  N A,31,83,   ,6.5,5.1,   ,8.83,115.21,   ,50.9,No 31 ,Yes 46 ,Yes 78 ,No 54 ,No 34 ,No 22 ,No 39 ,No 29 ,No 32 ,No 18 ,No 28 ,Yes 76 ,Yes 65 ,       ,       ,       ,       ,       ,N A 58 ,N A 39 ,N A 50 ,N A 47 ,N A 38 ,N A 42 ,N A 58 ,N A 30 ,N A 47 ,N A 46 ,N A 31 ,N A 34 ,Yes 1990,No,Yes  75 ,Yes  75 ,Yes  75 ,Yes 35 ,Yes 18 ,Yes 33 ,Yes 26 ,No 10 ,No 58 ,Yes 58 ,Yes 69  WHO European,Region,No 18  N A,5,78,24,56,72,59,79,56,62,62,59,Yes 17  2006,No 8  N A San,Marino,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,        LEGEND      Country context indicators   ICT Development Index Rank. 2015   https   www.itu.int net4 ITU D idi 2015  All other country indicators. Global Health Observatory. 2012 2014     http   www.who.int gho      Glossary     Indicates the percentage of participating Member States responding    Yes        Don   t know N A Not applicable     Indicates question was unanswered   Question not asked Zero No funding International level  Health entities in different geographic regions Regional level  Health entities in countries in the same geographic region National level  Referral hospitals  laboratories and health institutes  mainly  public  but also private  Intermediate level  District or provincial facilities  public and private hospitals  and health centres Local or peripheral level   Health posts  health centres providing basic level of care Informal   Use of ICT for health purposes in the absence of formal  processes and policies Pilot   Testing and evaluating a programme Established  An ongoing programme that has been conducted for a  minimum of 2 years and is planned to continue     2016 WHOhttp   www.who.int goe,
Somalia,Yes 75  2014,No 58  N A,Yes 66  2012,No 22  N A,No 77  Zero,No 40  Zero,No 63  Zero,No 42  Zero,N A 28  N A,N A 48 ,    74  N A,No 77  N A,10 496,54,   ,   ,0.04,   ,0.11,22.56,   ,1.4,No 31 ,46,Yes 78 ,Yes 54 ,34,22,39,No 29 ,No 32 ,No 18 ,No 28 ,No 76 ,65,       ,       ,       ,       ,       ,Yes 58 ,No 39 ,Yes 50 ,Yes 47 ,No 38 ,No 42 ,Yes 58 ,No 30 ,Yes 47 ,Yes 46 ,No 31 ,No 34 ,No N A,   ,N A    ,N A    ,N A    ,N A 35 ,N A 18 ,N A 33 ,N A 26 ,N A 10 ,No 58 ,58,Yes 69  WHO Eastern Mediterranean,Region,No 18  N A,5,Yes 78 ,24,56,72,59,Yes 79 ,56,62,62,59,    17  N A,    8  N A,Somalia,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,        LEGEND      Country context indicators   ICT Development Index Rank. 2015   https   www.itu.int net4 ITU D idi 2015  All other country indicators. Global Health Observatory. 2012 2014     http   www.who.int gho      Glossary     Indicates the percentage of participating Member States responding    Yes        Don   t know N A Not applicable     Indicates question was unanswered   Question not asked Zero No funding International level  Health entities in different geographic regions Regional level  Health entities in countries in the same geographic region National level  Referral hospitals  laboratories and health institutes  mainly  public  but also private  Intermediate level  District or provincial facilities  public and private hospitals  and health centres Local or peripheral level   Health posts  health centres providing basic level of care Informal   Use of ICT for health purposes in the absence of formal  processes and policies Pilot   Testing and evaluating a programme Established  An ongoing programme that has been conducted for a  minimum of 2 years and is planned to continue     2016 WHOhttp   www.who.int goe,
Serbia,No 75  N A,58,Yes 66  2009,No 22  N A,Yes 77   25 ,No 40  Zero,Yes 63   25 ,    42  Zero,No 28  N A,No 48 ,No 74  N A,No 77  N A,9 511,75,12 020,10.6,2.11,56,   ,117.85,54,48.1,No 31 ,No 46 ,Yes 78 ,No 54 ,No 34 ,No 22 ,No 39 ,No 29 ,No 32 ,No 18 ,No 28 ,No 76 ,No 65 ,       ,       ,       ,       ,       ,N A 58 ,N A 39 ,N A 50 ,N A 47 ,N A 38 ,N A 42 ,N A 58 ,N A 30 ,N A 47 ,N A 46 ,N A 31 ,N A 34 ,No N A,   ,N A    ,N A    ,N A    ,N A 35 ,N A 18 ,N A 33 ,N A 26 ,N A 10 ,No 58 ,No 58 ,Yes 69  WHO European,Region,No 18  N A,5,No 78 ,No 24 ,No 56 ,No 72 ,No 59 ,No 79 ,No 56 ,No 62 ,Yes 62 ,Yes 59 ,No 17  N A,No 8  N A,Serbia,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,        LEGEND      Country context indicators   ICT Development Index Rank. 2015   https   www.itu.int net4 ITU D idi 2015  All other country indicators. Global Health Observatory. 2012 2014     http   www.who.int gho      Glossary     Indicates the percentage of participating Member States responding    Yes        Don   t know N A Not applicable     Indicates question was unanswered   Question not asked Zero No funding International level  Health entities in different geographic regions Regional level  Health entities in countries in the same geographic region National level  Referral hospitals  laboratories and health institutes  mainly  public  but also private  Intermediate level  District or provincial facilities  public and private hospitals  and health centres Local or peripheral level   Health posts  health centres providing basic level of care Informal   Use of ICT for health purposes in the absence of formal  processes and policies Pilot   Testing and evaluating a programme Established  An ongoing programme that has been conducted for a  minimum of 2 years and is planned to continue     2016 WHOhttp   www.who.int goe,
South Sudan,Yes 75  2012,No 58  N A,No 66  N A,No 22  N A,No 77  Zero,No 40  Zero,Yes 63   25 ,No 42  Zero,No 28  N A,No 48 ,No 74  N A,No 77  N A,11 296,56,2 190,2.2,   ,   ,   ,21.22,   ,   ,No 31 ,No 46 ,No 78 ,No 54 ,No 34 ,No 22 ,No 39 ,No 29 ,No 32 ,No 18 ,No 28 ,No 76 ,65,       ,       ,       ,       ,       ,N A 58 ,N A 39 ,N A 50 ,N A 47 ,N A 38 ,N A 42 ,N A 58 ,N A 30 ,N A 47 ,N A 46 ,N A 31 ,N A 34 ,No N A,   ,N A    ,N A    ,N A    ,N A 35 ,N A 18 ,N A 33 ,N A 26 ,N A 10 ,No 58 ,No 58 ,No 69  WHO African,Region,No 18  N A,5,No 78 ,No 24 ,No 56 ,No 72 ,No 59 ,No 79 ,No 56 ,No 62 ,No 62 ,No 59 ,No 17  N A,No 8  N A South,Sudan,       ,Intermediate  Local Pilot,       ,       ,       ,       ,National  Intermediate  Local Established,       ,       ,       ,       ,       ,       ,        LEGEND      Country context indicators   ICT Development Index Rank. 2015   https   www.itu.int net4 ITU D idi 2015  All other country indicators. Global Health Observatory. 2012 2014     http   www.who.int gho      Glossary     Indicates the percentage of participating Member States responding    Yes        Don   t know N A Not applicable     Indicates question was unanswered   Question not asked Zero No funding International level  Health entities in different geographic regions Regional level  Health entities in countries in the same geographic region National level  Referral hospitals  laboratories and health institutes  mainly  public  but also private  Intermediate level  District or provincial facilities  public and private hospitals  and health centres Local or peripheral level   Health posts  health centres providing basic level of care Informal   Use of ICT for health purposes in the absence of formal  processes and policies Pilot   Testing and evaluating a programme Established  An ongoing programme that has been conducted for a  minimum of 2 years and is planned to continue     2016 WHOhttp   www.who.int goe,
Slovenia,Yes 75     ,No 58  N A,No 66  N A,No 22  N A,Yes 77   75 ,No 40  Zero,No 63  Zero,No 42  Zero,Yes 28     ,No 48 ,Yes 74  50 75 ,Yes 77  50 75 ,2 072,80,28 130,9.2,   ,28,   ,108.61,46,70,Yes 31 ,No 46 ,Yes 78 ,Yes 54 ,Yes 34 ,22,Yes 39 ,Yes 29 ,Yes 32 ,No 18 ,Yes 28 ,Yes 76 ,Yes 65 ,National    ,       ,       ,       ,Local Pilot,Yes 58 ,Yes 39 ,Yes 50 ,Yes 47 ,Yes 38 ,Yes 42 ,Yes 58 ,Yes 30 ,Yes 47 ,Yes 46 ,Yes 31 ,Yes 34 ,No N A,   ,N A    ,N A    ,N A    ,N A 35 ,N A 18 ,N A 33 ,N A 26 ,N A 10 ,Yes 58 ,Yes 58 ,Yes 69  WHO European,Region,No 18  N A,5,Yes 78 ,No 24 ,No 56 ,Yes 72 ,Yes 59 ,Yes 79 ,Yes 56 ,Yes 62 ,Yes 62 ,Yes 59 ,Yes 17     ,Yes 8     ,Slovenia,Intermediate Established,       ,Local    ,       ,       ,Local Pilot,       ,National Established,Local Pilot,Local Informal,       ,Local Pilot,       ,Local Pilot LEGEND      Country context indicators   ICT Development Index Rank. 2015   https   www.itu.int net4 ITU D idi 2015  All other country indicators. Global Health Observatory. 2012 2014     http   www.who.int gho      Glossary     Indicates the percentage of participating Member States responding    Yes        Don   t know N A Not applicable     Indicates question was unanswered   Question not asked Zero No funding International level  Health entities in different geographic regions Regional level  Health entities in countries in the same geographic region National level  Referral hospitals  laboratories and health institutes  mainly  public  but also private  Intermediate level  District or provincial facilities  public and private hospitals  and health centres Local or peripheral level   Health posts  health centres providing basic level of care Informal   Use of ICT for health purposes in the absence of formal  processes and policies Pilot   Testing and evaluating a programme Established  An ongoing programme that has been conducted for a  minimum of 2 years and is planned to continue     2016 WHOhttp   www.who.int goe,
Sweden,No 75  N A,Yes 58  2010,No 66  N A,No 22  N A,Yes 77   75 ,No 40  Zero,    63  Zero,Yes 42   25 ,No 28  N A,Yes 48 ,Yes 74   75 ,Yes 77   75 ,9 571,82,44 760,9.7,3.93,2,0.74,124.57,28,94,Yes 31 ,46,Yes 78 ,Yes 54 ,Yes 34 ,No 22 ,39,Yes 29 ,Yes 32 ,Yes 18 ,Yes 28 ,76,65,International  Regional   National Established,Intermediate  Local Pilot  Established,Intermediate Established,National  Intermediate Pilot  Established,International  Intermediate Pilot  Established,Yes 58 ,Yes 39 ,Yes 50 ,Yes 47 ,Yes 38 ,Yes 42 ,Yes 58 ,Yes 30 ,Yes 47 ,Yes 46 ,Yes 31 ,Yes 34 ,No N A,   ,N A    ,N A    ,N A    ,N A 35 ,N A 18 ,N A 33 ,N A 26 ,N A 10 ,Yes 58 ,Yes 58 ,Yes 69  WHO European,Region,No 18  N A,5,Yes 78 ,24,Yes 56 ,Yes 72 ,59,Yes 79 ,Yes 56 ,Yes 62 ,Yes 62 ,Yes 59 ,No 17  N A,No 8  N A,Sweden,International Established,National Established,National  Intermediate Established,National  Intermediate Established,International  National   Intermediate Established,Intermediate Established,National Established,National Established,Intermediate Established,National Established,National  Intermediate Established,Intermediate Established,Intermediate Established,Intermediate Established LEGEND      Country context indicators   ICT Development Index Rank. 2015   https   www.itu.int net4 ITU D idi 2015  All other country indicators. Global Health Observatory. 2012 2014     http   www.who.int gho      Glossary     Indicates the percentage of participating Member States responding    Yes        Don   t know N A Not applicable     Indicates question was unanswered   Question not asked Zero No funding International level  Health entities in different geographic regions Regional level  Health entities in countries in the same geographic region National level  Referral hospitals  laboratories and health institutes  mainly  public  but also private  Intermediate level  District or provincial facilities  public and private hospitals  and health centres Local or peripheral level   Health posts  health centres providing basic level of care Informal   Use of ICT for health purposes in the absence of formal  processes and policies Pilot   Testing and evaluating a programme Established  An ongoing programme that has been conducted for a  minimum of 2 years and is planned to continue     2016 WHOhttp   www.who.int goe,
Seychelles,No 75  N A,No 58  N A,Yes 66  2013,No 22  N A,Yes 77  Zero,Yes 40  Zero,Yes 63  Zero,No 42  Zero,No 28  N A,No 48 ,Yes 74   75 ,No 77  N A,93,74,23 270,4,1.07,64,4.81,147.8,36,47.1,No 31 ,Yes 46 ,Yes 78 ,Yes 54 ,Yes 34 ,Yes 22 ,No 39 ,Yes 29 ,Yes 32 ,No 18 ,No 28 ,Yes 76 ,Yes 65 ,International  National   Intermediate Informal,International  National   Intermediate Informal,International  National   Intermediate Informal,       ,       ,N A 58 ,N A 39 ,N A 50 ,N A 47 ,N A 38 ,N A 42 ,N A 58 ,N A 30 ,N A 47 ,N A 46 ,N A 31 ,N A 34 ,No N A,   ,N A    ,N A    ,N A    ,N A 35 ,N A 18 ,N A 33 ,N A 26 ,N A 10 ,No 58 ,No 58 ,No 69  WHO African,Region,No 18  N A,5,Yes 78 ,No 24 ,Yes 56 ,Yes 72 ,Yes 59 ,Yes 79 ,Yes 56 ,Yes 62 ,No 62 ,Yes 59 ,No 17  N A,No 8  N A,Seychelles,       ,National Informal,National Informal,International  National Informal,National Informal,       ,National Informal,International  National Informal,International  National Informal,International  National    ,       ,       ,National Informal,International  National Informal LEGEND      Country context indicators   ICT Development Index Rank. 2015   https   www.itu.int net4 ITU D idi 2015  All other country indicators. Global Health Observatory. 2012 2014     http   www.who.int gho      Glossary     Indicates the percentage of participating Member States responding    Yes        Don   t know N A Not applicable     Indicates question was unanswered   Question not asked Zero No funding International level  Health entities in different geographic regions Regional level  Health entities in countries in the same geographic region National level  Referral hospitals  laboratories and health institutes  mainly  public  but also private  Intermediate level  District or provincial facilities  public and private hospitals  and health centres Local or peripheral level   Health posts  health centres providing basic level of care Informal   Use of ICT for health purposes in the absence of formal  processes and policies Pilot   Testing and evaluating a programme Established  An ongoing programme that has been conducted for a  minimum of 2 years and is planned to continue     2016 WHOhttp   www.who.int goe,
Syrian Arab Republic,Yes 75  1975,No 58  N A,Yes 66  1990,No 22  N A,No 77  Zero,No 40  Zero,Yes 63   25 ,No 42  Zero,N A 28  N A,N A 48 ,No 74  N A,Yes 77   25 ,21 898,76,   ,3.3,1.46,102,1.87,59.3,15,24.3,No 31 ,No 46 ,Yes 78 ,No 54 ,No 34 ,No 22 ,No 39 ,No 29 ,No 32 ,No 18 ,No 28 ,Yes 76 ,Yes 65 ,       ,       ,       ,       ,       ,N A 58 ,N A 39 ,N A 50 ,N A 47 ,N A 38 ,N A 42 ,N A 58 ,N A 30 ,N A 47 ,N A 46 ,N A 31 ,N A 34 ,No N A,   ,N A    ,N A    ,N A    ,N A 35 ,N A 18 ,N A 33 ,N A 26 ,N A 10 ,Yes 58 ,No 58 ,Yes 69  WHO Eastern Mediterranean,Region,No 18  N A,5,No 78 ,No 24 ,No 56 ,No 72 ,No 59 ,Yes 79 ,No 56 ,No 62 ,No 62 ,No 59 ,No 17  N A,No 8  N A Syrian Arab,Republic,National Established,National Established,National Established,       ,National Established,       ,National Established,International Established,       ,       ,       ,       ,       ,National Established LEGEND      Country context indicators   ICT Development Index Rank. 2015   https   www.itu.int net4 ITU D idi 2015  All other country indicators. Global Health Observatory. 2012 2014     http   www.who.int gho      Glossary     Indicates the percentage of participating Member States responding    Yes        Don   t know N A Not applicable     Indicates question was unanswered   Question not asked Zero No funding International level  Health entities in different geographic regions Regional level  Health entities in countries in the same geographic region National level  Referral hospitals  laboratories and health institutes  mainly  public  but also private  Intermediate level  District or provincial facilities  public and private hospitals  and health centres Local or peripheral level   Health posts  health centres providing basic level of care Informal   Use of ICT for health purposes in the absence of formal  processes and policies Pilot   Testing and evaluating a programme Established  An ongoing programme that has been conducted for a  minimum of 2 years and is planned to continue     2016 WHOhttp   www.who.int goe,
Tajikistan,Yes 75  2010,58,Yes 66  2011,No 22  N A,Yes 77  25 50 ,No 40  Zero,Yes 63  25 50 ,No 42  Zero,    28  N A,Yes 48 ,Yes 74  25 50 ,Yes 77   25 ,8 208,69,2 500,6.8,1.92,   ,5.02,81.51,52,14.5,No 31 ,Yes 46 ,Yes 78 ,No 54 ,No 34 ,No 22 ,No 39 ,No 29 ,No 32 ,No 18 ,No 28 ,Yes 76 ,65,       ,       ,       ,       ,Regional  National Informal,Yes 58 ,Yes 39 ,Yes 50 ,Yes 47 ,No 38 ,No 42 ,Yes 58 ,Yes 30 ,Yes 47 ,Yes 46 ,No 31 ,Yes 34 ,Yes 2013,No,Yes  25 ,Yes  25 ,Yes  25 ,Yes 35 ,Yes 18 ,No 33 ,No 26 ,No 10 ,No 58 ,Yes 58 ,Yes 69  WHO European,Region,    18  N A,5,78,Yes 24 ,Yes 56 ,Yes 72 ,Yes 59 ,Yes 79 ,Yes 56 ,Yes 62 ,Yes 62 ,Yes 59 ,No 17  N A,No 8  N A,Tajikistan,Regional Established,Regional  National Informal,Regional Established,Regional  National Established,Regional  National Established,Regional Established,Regional  National Established,Regional Informal,Regional  National Informal,Regional  National Informal,Regional  National Informal,Regional  National Established,Regional  National Established,Regional Informal LEGEND      Country context indicators   ICT Development Index Rank. 2015   https   www.itu.int net4 ITU D idi 2015  All other country indicators. Global Health Observatory. 2012 2014     http   www.who.int gho      Glossary     Indicates the percentage of participating Member States responding    Yes        Don   t know N A Not applicable     Indicates question was unanswered   Question not asked Zero No funding International level  Health entities in different geographic regions Regional level  Health entities in countries in the same geographic region National level  Referral hospitals  laboratories and health institutes  mainly  public  but also private  Intermediate level  District or provincial facilities  public and private hospitals  and health centres Local or peripheral level   Health posts  health centres providing basic level of care Informal   Use of ICT for health purposes in the absence of formal  processes and policies Pilot   Testing and evaluating a programme Established  An ongoing programme that has been conducted for a  minimum of 2 years and is planned to continue     2016 WHOhttp   www.who.int goe,
Turkmenistan,Yes 75  2010,Yes 58  2010,Yes 66  2010,Yes 22  2006,Yes 77  50 75 ,40,63,42,No 28  N A,Yes 48 ,Yes 74  50 75 ,Yes 77  50 75 ,5 240,64,12 920,2,4.18,   ,9.04,76.42,40,7.2,Yes 31 ,Yes 46 ,Yes 78 ,No 54 ,No 34 ,No 22 ,Yes 39 ,No 29 ,No 32 ,18,Yes 28 ,76,65,National Pilot,National Pilot,National Pilot,       ,       ,Yes 58 ,No 39 ,No 50 ,No 47 ,No 38 ,No 42 ,Yes 58 ,No 30 ,Yes 47 ,No 46 ,No 31 ,No 34 ,Yes 2010,Yes,Yes 25 50 ,Yes 25 50 ,Yes 25 50 ,Yes 35 ,Yes 18 ,No 33 ,Yes 26 ,Yes 10 ,No 58 ,No 58 ,No 69  WHO European,Region,No 18  N A,5,No 78 ,No 24 ,No 56 ,No 72 ,No 59 ,No 79 ,No 56 ,No 62 ,No 62 ,No 59 ,17,8,Turkmenistan,       ,       ,       ,Intl  Reg  Nat    ,Intl  Reg  Nat    ,       ,National    ,Intl  Reg  Nat    ,Regional  National    ,       ,Regional  National    ,National    ,National    ,        LEGEND      Country context indicators   ICT Development Index Rank. 2015   https   www.itu.int net4 ITU D idi 2015  All other country indicators. Global Health Observatory. 2012 2014     http   www.who.int gho      Glossary     Indicates the percentage of participating Member States responding    Yes        Don   t know N A Not applicable     Indicates question was unanswered   Question not asked Zero No funding International level  Health entities in different geographic regions Regional level  Health entities in countries in the same geographic region National level  Referral hospitals  laboratories and health institutes  mainly  public  but also private  Intermediate level  District or provincial facilities  public and private hospitals  and health centres Local or peripheral level   Health posts  health centres providing basic level of care Informal   Use of ICT for health purposes in the absence of formal  processes and policies Pilot   Testing and evaluating a programme Established  An ongoing programme that has been conducted for a  minimum of 2 years and is planned to continue     2016 WHOhttp   www.who.int goe,
Timor Leste,Yes 75  2010,No 58  N A,Yes 66  2012,No 22  N A,Yes 77     ,Yes 40     ,Yes 63     ,Yes 42     ,    28  N A,48,No 74  N A,No 77  N A,1 133,67,6 410,1.3,0.07,   ,1.11,55.74,59,0.9,No 31 ,No 46 ,No 78 ,No 54 ,No 34 ,No 22 ,No 39 ,No 29 ,No 32 ,No 18 ,No 28 ,Yes 76 ,65,       ,       ,       ,       ,       ,N A 58 ,N A 39 ,N A 50 ,N A 47 ,N A 38 ,N A 42 ,N A 58 ,N A 30 ,N A 47 ,N A 46 ,N A 31 ,N A 34 ,Yes    ,No,No N A,No N A,Yes  25 ,Yes 35 ,No 18 ,No 33 ,No 26 ,No 10 ,No 58 ,Yes 58 ,No 69  WHO South East Asia,Region,    18  N A,5,Yes 78 ,24,56,Yes 72 ,59,Yes 79 ,Yes 56 ,62,62,59,    17  N A,    8  N A Timor,Leste,National Established,National Established,Intermediate Established,       ,National Established,       ,Intermediate Established,       ,       ,       ,       ,       ,Local Pilot,        LEGEND      Country context indicators   ICT Development Index Rank. 2015   https   www.itu.int net4 ITU D idi 2015  All other country indicators. Global Health Observatory. 2012 2014     http   www.who.int gho      Glossary     Indicates the percentage of participating Member States responding    Yes        Don   t know N A Not applicable     Indicates question was unanswered   Question not asked Zero No funding International level  Health entities in different geographic regions Regional level  Health entities in countries in the same geographic region National level  Referral hospitals  laboratories and health institutes  mainly  public  but also private  Intermediate level  District or provincial facilities  public and private hospitals  and health centres Local or peripheral level   Health posts  health centres providing basic level of care Informal   Use of ICT for health purposes in the absence of formal  processes and policies Pilot   Testing and evaluating a programme Established  An ongoing programme that has been conducted for a  minimum of 2 years and is planned to continue     2016 WHOhttp   www.who.int goe,
Trinidad and Tobago,Yes 75     ,Yes 58     ,Yes 66     ,No 22  N A,Yes 77   25 ,40,Yes 63   25 ,    42  Zero,    28  N A,No 48 ,Yes 74   25 ,Yes 77   25 ,1 341,71,26 210,5.5,1.18,66,3.56,140.84,26,59.5,Yes 31 ,Yes 46 ,Yes 78 ,Yes 54 ,No 34 ,No 22 ,No 39 ,No 29 ,Yes 32 ,18,Yes 28 ,Yes 76 ,65,International Informal,       ,       ,       ,       ,N A 58 ,N A 39 ,N A 50 ,N A 47 ,N A 38 ,N A 42 ,No 58 ,No 30 ,No 47 ,No 46 ,No 31 ,No 34 ,No N A,   ,N A    ,N A    ,N A    ,N A 35 ,N A 18 ,N A 33 ,N A 26 ,N A 10 ,58,No 58 ,    69  WHO Region of the,Americas,No 18  N A,5,Yes 78 ,No 24 ,Yes 56 ,Yes 72 ,Yes 59 ,Yes 79 ,Yes 56 ,Yes 62 ,Yes 62 ,Yes 59 ,No 17  N A,No 8  N A Trinidad and,Tobago,National Established,       ,Local Informal,Local Informal,National Pilot,Intermediate Informal,Local Informal,International Established,Intermediate Pilot,International Established,International Established,Local Informal,National Pilot,        LEGEND      Country context indicators   ICT Development Index Rank. 2015   https   www.itu.int net4 ITU D idi 2015  All other country indicators. Global Health Observatory. 2012 2014     http   www.who.int gho      Glossary     Indicates the percentage of participating Member States responding    Yes        Don   t know N A Not applicable     Indicates question was unanswered   Question not asked Zero No funding International level  Health entities in different geographic regions Regional level  Health entities in countries in the same geographic region National level  Referral hospitals  laboratories and health institutes  mainly  public  but also private  Intermediate level  District or provincial facilities  public and private hospitals  and health centres Local or peripheral level   Health posts  health centres providing basic level of care Informal   Use of ICT for health purposes in the absence of formal  processes and policies Pilot   Testing and evaluating a programme Established  An ongoing programme that has been conducted for a  minimum of 2 years and is planned to continue     2016 WHOhttp   www.who.int goe,
Tunisia,75,58,No 66  N A,22,    77   75 ,40,63,    42  Zero,28,48,74,77,10 997,76,10 960,7.1,1.22,91,3.28,118.08,21,41.4,31,46,78,54,34,22,39,29,32,18,28,76,65,       ,       ,       ,       ,       ,No 58 ,No 39 ,No 50 ,No 47 ,No 38 ,No 42 ,No 58 ,No 30 ,No 47 ,No 46 ,No 31 ,No 34 ,       ,   ,No N A,No N A,No N A,No 35 ,No 18 ,No 33 ,No 26 ,No 10 ,58,58,    69  WHO Eastern Mediterranean,Region,18,5,78,24,56,72,59,79,56,62,62,59,17,8,Tunisia,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,        LEGEND      Country context indicators   ICT Development Index Rank. 2015   https   www.itu.int net4 ITU D idi 2015  All other country indicators. Global Health Observatory. 2012 2014     http   www.who.int gho      Glossary     Indicates the percentage of participating Member States responding    Yes        Don   t know N A Not applicable     Indicates question was unanswered   Question not asked Zero No funding International level  Health entities in different geographic regions Regional level  Health entities in countries in the same geographic region National level  Referral hospitals  laboratories and health institutes  mainly  public  but also private  Intermediate level  District or provincial facilities  public and private hospitals  and health centres Local or peripheral level   Health posts  health centres providing basic level of care Informal   Use of ICT for health purposes in the absence of formal  processes and policies Pilot   Testing and evaluating a programme Established  An ongoing programme that has been conducted for a  minimum of 2 years and is planned to continue     2016 WHOhttp   www.who.int goe,
